title,url,discounted_price,original_price
Wireless Headphones Bluetooth 5.0 Foldable Stereo Adjustable Earphones,https://www.cigabuy.com/wireless-headphones-bluetooth-50-foldable-stereo-adjustable-earphones-p-19325.html,€7.05,€19.17 
Xiaomi ENCHEN Sharp3S Men's Electric Hair Clipper USB Rechargeable Hair Trimmer,https://www.cigabuy.com/xiaomi-enchen-sharp3s-mens-electric-hair-clipper-usb-rechargeable-hair-trimmer-p-18990.html,€11.69,€24.33 
Philips M8 Tablet Quad Core 3+32GB 2MP + 5MP Cameras Dual Band 2.4G +5G WiFi,https://www.cigabuy.com/philips-m8-tablet-quad-core-332gb-2mp-5mp-cameras-dual-band-24g-5g-wifi-p-20015.html,€105.76,€203.96 
USB LED Flashlight Rechargeable LED Torch Zoom XPE for Outdoor Bicycle Hiking,https://www.cigabuy.com/usb-led-flashlight-rechargeable-led-torch-zoom-xpe-for-outdoor-bicycle-hiking-p-18829.html,€1.80,€3.60 
EDUP USB Wifi Adapter Band Wirelss Network Card Antenna USB WiFi Dongle,https://www.cigabuy.com/edup-usb-wifi-adapter-band-wirelss-network-card-antenna-usb-wifi-dongle-p-19591.html,€11.66,€17.74 
Xiaomi Mijia 13.5inch LCD Blackboard Writing Tablet with Pen Digital Drawing Pad,https://www.cigabuy.com/xiaomi-mijia-135inch-lcd-blackboard-writing-tablet-with-pen-digital-drawing-pad-p-18918.html,€17.00,€46.26 
Alarm Clock Intelligent Switch with Voice-controlled Night Light Clock,https://www.cigabuy.com/alarm-clock-intelligent-switch-with-voice-controlled-night-light-clock-p-19609.html,€9.56,€36.42 
TWS4 Bluetooth 5.0 Wireless Headphones Touch Mini In-Ear Buds w Charging Bin,https://www.cigabuy.com/tws4-bluetooth-50-wireless-headphones-touch-mini-in-ear-buds-w-charging-bin-p-18788.html,€5.70,€11.67 
All-Metal Automobile Safety Hammer Fire Emergency Escape Hammer Breaking Machine,https://www.cigabuy.com/all-metal-automobile-safety-hammer-fire-emergency-escape-hammer-breaking-machine-p-19592.html,€4.65,€17.61 
Trail Hunting Camera Surveillance Version Wildlife Scouting Cameras,https://www.cigabuy.com/trail-hunting-camera-surveillance-version-wildlife-scouting-cameras-p-19029.html,€18.53,€37.90 
